vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index,ictv40_i_field_name,vjdbv0.3_index,vjdbv0.3_search_method,vjdbv0.3_default_search
virus_old_names,Virus Old Names,Collection of outdated names for a particular virus.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Clinical ,N/A,"['Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fd,N/A,metadata,no ,N/A
sequence_byte_range,Sequence Byte Range,Byte range data of the sample in the sequence file without the header,integer list,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fe,N/A,metadata,no ,N/A
sequence_path,Sequence Path,The file location of the multiseq fasta file including the parent folder name ,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ff,N/A,metadata,no ,N/A
insertion_date,Insertion Date,Date of the insertion into the VirJen database,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fg,N/A,metadata,no ,N/A
update_date,Update Date,The last date the metadata was updated in the VirJen database.,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fh,N/A,metadata,range,N/A
ictv_realm,ICTV Realm,A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_realm,ictv_realm,ictv_realm,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fi,Realm,taxonomy,exact ,N/A
ictv_subrealm,ICTV Subrealm,A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subrealm,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fj,Subrealm,taxonomy,exact ,N/A
ictv_kingdom,ICTV Kingdom,A 'Kingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_kingdom,ictv_kingdom,ictv_kingdom,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fk,Kingdom,taxonomy,exact ,N/A
ictv_subkingdom,ICTV Subkingdom,A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subkingdom,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fl,Subkingdom,taxonomy,exact ,N/A
ictv_phylum,ICTV Phylum,A 'Phylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_phylum,ictv_phylum,ictv_phylum,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fm,Phylum,taxonomy,exact ,N/A
ictv_subphylum,ICTV Subphylum,A 'Subphylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subphylum,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fn,Subphylum,taxonomy,exact ,N/A
ictv_class,ICTV Class,A 'Class' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_class,ictv_class,ictv_class,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fo,Class,taxonomy,exact ,N/A
ictv_subclass,ICTV Subclass,A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subclass,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fp,Subclass,taxonomy,exact ,N/A
ictv_order,ICTV Order,A 'Order' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_order,ictv_order,ictv_order,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fq,Order,taxonomy,exact ,N/A
ictv_suborder,ICTV Suborder,A 'suborder' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_suborder,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fr,Suborder,taxonomy,exact ,N/A
ictv_family,ICTV Family,A 'Family' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_family,ictv_family,ictv_family,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fs,Family,taxonomy,exact ,N/A
ictv_subfamily,ICTV Subfamily,A 'Subfamily' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subfamily,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ft,Subfamily,taxonomy,exact ,N/A
ictv_genus,ICTV Genus,A 'Genus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_genus,ictv_genus,ictv_genus,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fu,Genus,taxonomy,exact ,N/A
ictv_subgenus,ICTV Subgenus,A 'Subgenus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subgenus,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fv,Subgenus,taxonomy,exact ,N/A
ictv_species,ICTV Species,"A Species is the lowest taxonomic rank in the hierarchy approved by the ICTV. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the ICTV does not classify viruses below the species level. Defined by the ICTV.",keyword,public,sample_ictv_scientific_name,tree_rank_name,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_species,ictv_species,ictv_species,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,ICTV Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,Taxonomy Descision; no example needed,tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0fw,Species,taxonomy,exact ,default search
ncbi_realm,NCBI Realm,A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_realm,N/A,N/A,N/A,N/A,Sample,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Sample', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fx,N/A,metadata,exact ,N/A
ncbi_subrealm,NCBI Subrealm,A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subrealm,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fy,N/A,metadata,exact ,N/A
ncbi_kingdom,NCBI Kingdom,A 'Kingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kingdom,N/A,N/A,N/A,ncbi_kingdom,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,kingdom,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0fz,N/A,metadata,exact ,N/A
ncbi_subkingdom,NCBI Subkingdom,A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subkingdom,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ga,N/A,metadata,exact ,N/A
ncbi_phylum,NCBI Phylum,A 'Phylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Phylum,N/A,N/A,N/A,ncbi_phylum,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,phylum,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gb,N/A,metadata,exact ,N/A
ncbi_subphylum,NCBI Subphylum,A 'Subphylum' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subphylum,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gc,N/A,metadata,exact ,N/A
ncbi_class,NCBI Class,A 'Class' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Class,N/A,N/A,N/A,ncbi_class,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,class,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gd,N/A,metadata,exact ,N/A
ncbi_subclass,NCBI Subclass,A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subclass,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ge,N/A,metadata,exact ,N/A
ncbi_order,NCBI Order,A 'Order' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Order,N/A,N/A,N/A,ncbi_order,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,order,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gf,N/A,metadata,exact ,N/A
ncbi_suborder,NCBI Suborder,A 'suborder' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_suborder,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gg,N/A,metadata,exact ,N/A
ncbi_family,NCBI Family,A 'Family' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,sample_family,N/A,N/A,N/A,N/A,N/A,N/A,Family,Family,N/A,N/A,N/A,ncbi_family,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Virus|BVBRC,Taxonomy Descision; no example needed,N/A,N/A,Family,"Family name, as identified by NCBI Taxonomy.",N/A,N/A,Taxonomy Info,Taxonomy,family,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0gh,N/A,metadata,exact ,default search
ncbi_subfamily,NCBI Subfamily,A 'Subfamily' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subfamily,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Taxonomy,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gi,N/A,metadata,exact ,N/A
ncbi_genus,NCBI Genus,A 'Genus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,sample_genus,N/A,N/A,N/A,N/A,N/A,N/A,Genus,Genus,N/A,N/A,N/A,ncbi_genus,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Virus|BVBRC,Taxonomy Descision; no example needed,N/A,N/A,Genus,"Genus name, as identified by NCBI Taxonomy.",N/A,N/A,Taxonomy Info,Taxonomy,genus,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0gj,N/A,metadata,exact ,default search
ncbi_subgenus,NCBI Subgenus,A 'Subgenus' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subgenus,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI ,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gk,N/A,metadata,exact ,N/A
ncbi_species,NCBI Species,"A Species is the lowest taxonomic rank in the hierarchy approved by the NCBI. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the NCBI does not classify viruses below the species level. Defined by the NCBI.",keyword,public,sample_NCBI_scientific_name [sample_species_name_scientific],NCBI_lineage?,scientific name,N/A,N/A,N/A,N/A,Species,Species,N/A,N/A,N/A,ncbi_species,N/A,N/A,N/A,N/A,Taxonomy,Virus Taxonomy,NCBI Taxonomy,"['ENA', 'NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",NCBI Virus|BVBRC,"NCBI Virus has only the virus species in this field, Taxonomy Descision; no example needed",N/A,"Not in VJDB, Completly new due to byCovid",Species,"Species name, as defined by NCBI Taxonomy.",N/A,N/A,Taxonomy Info,Taxonomy,species,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,suggestion,unique,0gl,N/A,metadata,exact ,default search
virus_genotype,Genotype,"The genotype or subtype of a virus sequence, as provided by the sequence submitter. This field comes from the ""/serotype"" field of the GenBank record and is shown as submitted. Consistency and accuracy may vary.",keyword,public,sample_variant,variant,N/A,N/A,subspecf_gen_lin; broad field,N/A,N/A,Genotype,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus Info,N/A,"['MIGS-VI', 'NCBI Virus', 'Sample', 'Virus Info']",NCBI Virus,"Is sample needed at all? Do we relate everything to the sequence/the virus  -> Variant, Taxonomy Decision: Variant or NCBI/ICTV Variant; no example needed",N/A,N/A,Genotype,"In the NCBI Virus database, the term ""Genotype"" refers to the genotype or subtype of a viral sequence, as provided by the sequence submitter. This information is displayed in the Genotype column of the Results Table and can also be used as a filter to refine search results.

The genotype information is parsed from the ""/serotype"" field of the GenBank record and is shown exactly as it was submitted by the sequence submitter. The presence, accuracy, and consistency of genotype data may vary between records, as it is not a mandatory field in the GenBank submission process.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0gm,N/A,metadata,exact,N/A
virus_isolate,Isolate,Individual isolate from which the sample was obtained.,keyword,public,sample_isolate,N/A,isolate,N/A,N/A,N/A,N/A,Isolate,N/A,N/A,isolate,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Virus Info,N/A,"['ENA', 'NCBI Virus', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Virus Info']",NCBI Virus,Taxonomy Descision; not sure,N/A,"Not in VJDB, Completly new due to byCovid",Isolate,"Isolate or strain name from the ""/isolate"" field of GenBank record. For more information, see Glossary: Isolate.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Individual isolate from which the sample was obtained,N/A,TEXT_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,0gn,N/A,metadata,exact,default search
host_age_submission,Host Age,Host age given by a number. Is connected to Host Age Unit. The number should match the unit. E.g. 2 years,float,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,Clinical ,N/A,"['Internal', 'Clinical ']",no source,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,Whole number value,N/A,N/A,0go,N/A,metadata,range,N/A
